marks,year,caste,list,College,cutoff,result
42,2021,NT-C,1st,D.G.Ruparel,77,0
62,2021,SC,1st,D.G.Ruparel,44,1
64,2021,Open,1st,D.G.Ruparel,85,0
45,2021,NT-B,1st,D.G.Ruparel,60,0
99,2021,NT-C,1st,D.G.Ruparel,77,1
89,2021,NT-B,1st,D.G.Ruparel,60,1
35,2021,SC,1st,D.G.Ruparel,44,0
80,2021,Open,1st,D.G.Ruparel,85,0
73,2021,NT-C,1st,D.G.Ruparel,77,0
36,2021,ST,1st,D.G.Ruparel,74,0
91,2021,Open,1st,D.G.Ruparel,85,1
54,2021,NT-C,1st,D.G.Ruparel,77,0
72,2021,OBC,1st,D.G.Ruparel,75,0
62,2021,OBC,1st,D.G.Ruparel,75,0
92,2021,ST,1st,D.G.Ruparel,74,1
53,2021,SC,1st,D.G.Ruparel,44,1
50,2021,ST,1st,D.G.Ruparel,74,0
76,2021,ST,1st,D.G.Ruparel,74,1
76,2021,NT-B,1st,D.G.Ruparel,60,1
60,2021,SC,1st,D.G.Ruparel,44,1
37,2021,OBC,1st,D.G.Ruparel,75,0
85,2021,SC,1st,D.G.Ruparel,44,1
62,2021,Open,1st,D.G.Ruparel,85,0
64,2021,SC,1st,D.G.Ruparel,44,1
100,2021,ST,1st,D.G.Ruparel,74,1
97,2021,OBC,1st,D.G.Ruparel,75,1
95,2021,NT-C,1st,D.G.Ruparel,77,1
80,2021,OBC,1st,D.G.Ruparel,75,1
47,2021,NT-C,1st,D.G.Ruparel,77,0
56,2021,Open,1st,D.G.Ruparel,85,0
65,2021,ST,1st,D.G.Ruparel,74,0
79,2021,NT-C,1st,D.G.Ruparel,77,1
35,2021,Open,1st,D.G.Ruparel,85,0
96,2021,NT-C,1st,D.G.Ruparel,77,1
99,2021,NT-B,1st,D.G.Ruparel,60,1
59,2021,ST,1st,D.G.Ruparel,74,0
83,2021,SC,1st,D.G.Ruparel,44,1
45,2021,OBC,1st,D.G.Ruparel,75,0
68,2021,SC,1st,D.G.Ruparel,44,1
92,2021,ST,1st,D.G.Ruparel,74,1
