marks,year,caste,list,College,cutoff,result
81,2021,NT-D,1st,D.G.Ruparel,44,1
42,2021,NT-C,1st,D.G.Ruparel,77,0
65,2021,VJ-A,1st,D.G.Ruparel,81,0
71,2021,VJ-A,1st,D.G.Ruparel,81,0
97,2021,SBC,1st,D.G.Ruparel,76,1
62,2021,SC,1st,D.G.Ruparel,44,1
47,2021,VJ-A,1st,D.G.Ruparel,81,0
64,2021,Open,1st,D.G.Ruparel,85,0
45,2021,NT-B,1st,D.G.Ruparel,60,0
99,2021,NT-C,1st,D.G.Ruparel,77,1
89,2021,NT-B,1st,D.G.Ruparel,60,1
35,2021,SC,1st,D.G.Ruparel,44,0
80,2021,Open,1st,D.G.Ruparel,85,0
73,2021,NT-C,1st,D.G.Ruparel,77,0
68,2021,VJ-A,1st,D.G.Ruparel,81,0
72,2021,NT-D,1st,D.G.Ruparel,44,1
36,2021,ST,1st,D.G.Ruparel,74,0
45,2021,SBC,1st,D.G.Ruparel,76,0
80,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
91,2021,Open,1st,D.G.Ruparel,85,1
54,2021,NT-C,1st,D.G.Ruparel,77,0
75,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
72,2021,OBC,1st,D.G.Ruparel,75,0
96,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
89,2021,NT-D,1st,D.G.Ruparel,44,1
62,2021,OBC,1st,D.G.Ruparel,75,0
98,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
92,2021,ST,1st,D.G.Ruparel,74,1
88,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
53,2021,SC,1st,D.G.Ruparel,44,1
61,2021,VJ-A,1st,D.G.Ruparel,81,0
37,2021,NT-D,1st,D.G.Ruparel,44,0
50,2021,ST,1st,D.G.Ruparel,74,0
36,2021,VJ-A,1st,D.G.Ruparel,81,0
53,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
76,2021,ST,1st,D.G.Ruparel,74,1
76,2021,NT-B,1st,D.G.Ruparel,60,1
87,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
52,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
95,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
50,2021,VJ-A,1st,D.G.Ruparel,81,0
69,2021,SBC,1st,D.G.Ruparel,76,0
52,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
91,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
74,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
60,2021,SC,1st,D.G.Ruparel,44,1
37,2021,OBC,1st,D.G.Ruparel,75,0
83,2021,SBC,1st,D.G.Ruparel,76,1
85,2021,SC,1st,D.G.Ruparel,44,1
62,2021,Open,1st,D.G.Ruparel,85,0
64,2021,SC,1st,D.G.Ruparel,44,1
100,2021,ST,1st,D.G.Ruparel,74,1
42,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
97,2021,OBC,1st,D.G.Ruparel,75,1
95,2021,NT-C,1st,D.G.Ruparel,77,1
65,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
80,2021,OBC,1st,D.G.Ruparel,75,1
47,2021,NT-C,1st,D.G.Ruparel,77,0
56,2021,NT-D,1st,D.G.Ruparel,44,1
56,2021,Open,1st,D.G.Ruparel,85,0
65,2021,ST,1st,D.G.Ruparel,74,0
79,2021,NT-C,1st,D.G.Ruparel,77,1
57,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
54,2021,VJ-A,1st,D.G.Ruparel,81,0
86,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
35,2021,Open,1st,D.G.Ruparel,85,0
96,2021,NT-C,1st,D.G.Ruparel,77,1
80,2021,NT-D,1st,D.G.Ruparel,44,1
99,2021,NT-B,1st,D.G.Ruparel,60,1
39,2021,VJ-A,1st,D.G.Ruparel,81,0
59,2021,ST,1st,D.G.Ruparel,74,0
83,2021,SC,1st,D.G.Ruparel,44,1
90,2021,SBC,1st,D.G.Ruparel,76,1
95,2021,VJ-A,1st,D.G.Ruparel,81,1
89,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
83,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
45,2021,OBC,1st,D.G.Ruparel,75,0
68,2021,SC,1st,D.G.Ruparel,44,1
96,2021,NT-D,1st,D.G.Ruparel,44,1
92,2021,ST,1st,D.G.Ruparel,74,1
83,2021,OBC,1st,D.G.Ruparel,75,1
43,2021,SC,1st,D.G.Ruparel,44,0
46,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
58,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
53,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
63,2021,NT-C,1st,D.G.Ruparel,77,0
38,2021,NT-B,1st,D.G.Ruparel,60,0
63,2021,VJ-A,1st,D.G.Ruparel,81,0
50,2021,ST,1st,D.G.Ruparel,74,0
57,2021,VJ-A,1st,D.G.Ruparel,81,0
72,2021,OBC,1st,D.G.Ruparel,75,0
71,2021,EBC,1st,D.G.Ruparel,#N/A,#N/A
45,2021,NT-D,1st,D.G.Ruparel,44,1
84,2021,SC,1st,D.G.Ruparel,44,1
57,2021,NT-B,1st,D.G.Ruparel,60,0
53,2021,SC,1st,D.G.Ruparel,44,1
54,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
56,2021,SBC,1st,D.G.Ruparel,76,0
89,2021,SEBC,1st,D.G.Ruparel,#N/A,#N/A
70,2021,ST,1st,D.G.Ruparel,74,0
98,2021,NT-B,1st,D.G.Ruparel,60,1
79,2021,SBC,1st,D.G.Ruparel,76,1
38,2021,Open,1st,D.G.Ruparel,85,0
48,2021,OBC,1st,D.G.Ruparel,75,0
45,2021,NT-C,1st,D.G.Ruparel,77,0
60,2021,ST,1st,D.G.Ruparel,74,0
64,2021,VJ-A,1st,D.G.Ruparel,81,0
53,2021,SBC,1st,D.G.Ruparel,76,0
