marks,year,caste,list,subject,cutoff,result
90,2021,SC,1st,PCM,,
53,2021,NT-C,1st,PCM,,
53,2021,NT-B,1st,PCM,,
99,2021,EBC,1st,PCM,,
66,2021,VJ-A,1st,PCM,,
54,2021,NT-D,1st,PCM,,
92,2021,Open,1st,PCM,,
93,2021,SEBC,1st,PCM,,
91,2021,EBC,1st,PCM,,
54,2021,SC,1st,PCM,,
52,2021,EBC,1st,PCM,,
96,2021,SBC,1st,PCM,,
93,2021,SC,1st,PCM,,
89,2021,Open,1st,PCM,,
94,2021,OBC,1st,PCM,,
91,2021,NT-C,1st,PCM,,
53,2021,Open,1st,PCM,,
89,2021,SC,1st,PCM,,
56,2021,ST,1st,PCM,,
87,2021,VJ-A,1st,PCM,,
72,2021,SC,1st,PCM,,
58,2021,EBC,1st,PCM,,
69,2021,EBC,1st,PCM,,
100,2021,OBC,1st,PCM,,
49,2021,SC,1st,PCM,,
96,2021,OBC,1st,PCM,,
67,2021,OBC,1st,PCM,,
63,2021,ST,1st,PCM,,
85,2021,SC,1st,PCM,,
77,2021,EBC,1st,PCM,,
72,2021,ST,1st,PCM,,
47,2021,EBC,1st,PCM,,
72,2021,NT-B,1st,PCM,,
84,2021,OBC,1st,PCM,,
68,2021,SBC,1st,PCM,,
83,2021,SC,1st,PCM,,
95,2021,OBC,1st,PCM,,
79,2021,SBC,1st,PCM,,
82,2021,NT-B,1st,PCM,,
69,2021,ST,1st,PCM,,
44,2021,NT-B,1st,PCM,,
73,2021,NT-B,1st,PCM,,
69,2021,Open,1st,PCM,,
87,2021,NT-C,1st,PCM,,
69,2021,SC,1st,PCM,,
70,2021,NT-B,1st,PCM,,
88,2021,NT-D,1st,PCM,,
51,2021,SC,1st,PCM,,
88,2021,NT-D,1st,PCM,,
79,2021,NT-B,1st,PCM,,
75,2021,SC,1st,PCM,,
95,2021,NT-C,1st,PCM,,
96,2021,NT-B,1st,PCM,,
57,2021,NT-C,1st,PCM,,
92,2021,NT-C,1st,PCM,,
51,2021,NT-B,1st,PCM,,
62,2021,VJ-A,1st,PCM,,
51,2021,NT-B,1st,PCM,,
63,2021,NT-C,1st,PCM,,
90,2021,SBC,1st,PCM,,
81,2021,VJ-A,1st,PCM,,
98,2021,NT-C,1st,PCM,,
43,2021,ST,1st,PCM,,
64,2021,Open,1st,PCM,,
84,2021,NT-D,1st,PCM,,
79,2021,OBC,1st,PCM,,
35,2021,NT-D,1st,PCM,,
35,2021,NT-D,1st,PCM,,
86,2021,SC,1st,PCM,,
87,2021,SEBC,1st,PCM,,
44,2021,NT-C,1st,PCM,,
71,2021,Open,1st,PCM,,
63,2021,NT-D,1st,PCM,,
84,2021,ST,1st,PCM,,
85,2021,NT-C,1st,PCM,,
52,2021,NT-B,1st,PCM,,
70,2021,NT-C,1st,PCM,,
85,2021,NT-D,1st,PCM,,
39,2021,NT-C,1st,PCM,,
94,2021,OBC,1st,PCM,,
45,2021,NT-D,1st,PCM,,
67,2021,VJ-A,1st,PCM,,
46,2021,NT-D,1st,PCM,,
40,2021,VJ-A,1st,PCM,,
64,2021,SBC,1st,PCM,,
79,2021,VJ-A,1st,PCM,,
95,2021,SEBC,1st,PCM,,
55,2021,VJ-A,1st,PCM,,
78,2021,SEBC,1st,PCM,,
66,2021,NT-B,1st,PCM,,
76,2021,NT-B,1st,PCM,,
55,2021,SEBC,1st,PCM,,
82,2021,SEBC,1st,PCM,,
69,2021,Open,1st,PCM,,
48,2021,NT-B,1st,PCM,,
44,2021,NT-D,1st,PCM,,
40,2021,Open,1st,PCM,,
79,2021,NT-C,1st,PCM,,
85,2021,EBC,1st,PCM,,
89,2021,OBC,1st,PCM,,
46,2021,SBC,1st,PCM,,
66,2021,ST,1st,PCM,,
49,2021,NT-B,1st,PCM,,
93,2021,NT-D,1st,PCM,,
95,2021,SBC,1st,PCM,,
79,2021,ST,1st,PCM,,
59,2021,VJ-A,1st,PCM,,
80,2021,NT-B,1st,PCM,,
36,2021,SC,1st,PCM,,
66,2021,OBC,1st,PCM,,
74,2021,ST,1st,PCM,,
56,2021,NT-C,1st,PCM,,
48,2021,Open,1st,PCM,,
52,2021,SBC,1st,PCM,,
96,2021,NT-C,1st,PCM,,
73,2021,VJ-A,1st,PCM,,
48,2021,NT-B,1st,PCM,,
56,2021,NT-C,1st,PCM,,
42,2021,SC,1st,PCM,,
96,2021,NT-C,1st,PCM,,
46,2021,SBC,1st,PCM,,
84,2021,VJ-A,1st,PCM,,
43,2021,SBC,1st,PCM,,
76,2021,SC,1st,PCM,,
37,2021,NT-B,1st,PCM,,
47,2021,SC,1st,PCM,,
72,2021,OBC,1st,PCM,,
47,2021,NT-B,1st,PCM,,
71,2021,NT-C,1st,PCM,,
48,2021,NT-C,1st,PCM,,
72,2021,NT-B,1st,PCM,,
56,2021,OBC,1st,PCM,,
38,2021,OBC,1st,PCM,,
85,2021,ST,1st,PCM,,
89,2021,SC,1st,PCM,,
66,2021,EBC,1st,PCM,,
